,period,short_desc,temp,desc
0,Today,Sunny,High: 88 °F,"Today: Sunny, with a high near 88. Northwest wind 9 to 13 mph, with gusts as high as 21 mph. "
1,Tonight,Mostly Clear,Low: 59 °F,"Tonight: Mostly clear, with a low around 59. Northeast wind 8 to 10 mph becoming southwest in the evening. Winds could gust as high as 16 mph. "
2,Sunday,Sunny thenSlight ChanceT-storms,High: 88 °F,"Sunday: A 20 percent chance of showers and thunderstorms after 1pm.  Mostly sunny, with a high near 88. West southwest wind 6 to 13 mph, with gusts as high as 20 mph. "
3,SundayNight,Slight ChanceT-storms thenMostly Clear,Low: 57 °F,"Sunday Night: A 20 percent chance of showers and thunderstorms before 7pm.  Partly cloudy, with a low around 57. West wind 5 to 11 mph, with gusts as high as 17 mph. "
4,Monday,Sunny,High: 87 °F,"Monday: Sunny, with a high near 87. Light and variable wind becoming east 5 to 7 mph in the afternoon. "
5,MondayNight,Mostly Clear,Low: 58 °F,"Monday Night: Mostly clear, with a low around 58."
6,Tuesday,Sunny thenSlight ChanceT-storms,High: 89 °F,"Tuesday: A 10 percent chance of showers and thunderstorms after 1pm.  Sunny, with a high near 89."
7,TuesdayNight,Slight ChanceT-storms,Low: 60 °F,"Tuesday Night: A slight chance of showers and thunderstorms before 1am.  Partly cloudy, with a low around 60."
8,Wednesday,Sunny thenSlight ChanceT-storms,High: 86 °F,"Wednesday: A slight chance of showers and thunderstorms after 1pm.  Mostly sunny, with a high near 86."
